ID,Date,IndexInDate,Team1,Team2
0,2022-12-02,0,0,1
1,2022-12-02,1,2,3
2,2022-12-02,2,4,5
3,2022-12-02,3,6,7
4,2022-12-03,0,3,8
5,2022-12-03,1,9,10
6,2022-12-03,2,7,0
7,2022-12-03,3,11,4
8,2022-12-04,0,6,10
9,2022-12-04,1,2,11
10,2022-12-04,2,1,5
11,2022-12-04,3,8,9
12,2022-12-09,0,7,10
13,2022-12-09,1,11,3
14,2022-12-09,2,9,6
15,2022-12-09,3,8,1
16,2022-12-10,0,1,4
17,2022-12-10,1,2,10
18,2022-12-10,2,9,0
19,2022-12-10,3,11,5
20,2022-12-11,0,3,4
21,2022-12-11,1,7,8
22,2022-12-11,2,5,2
23,2022-12-11,3,0,6
24,2022-12-14,0,5,10
25,2022-12-15,0,2,11
26,2022-12-15,1,6,9
27,2022-12-15,2,3,12
28,2022-12-15,3,8,13
29,2022-12-15,4,1,14
30,2022-12-15,5,4,5
31,2022-12-15,6,10,7
32,2022-12-15,7,0,15
33,2022-12-15,8,11,13
34,2022-12-15,9,9,3
35,2022-12-15,10,6,12
36,2022-12-15,11,2,8
37,2022-12-15,12,4,0
38,2022-12-15,13,5,15
39,2022-12-15,14,10,14
40,2022-12-15,15,7,1
41,2022-12-16,0,11,2
42,2022-12-16,1,4,15
43,2022-12-16,2,6,3
44,2022-12-16,3,14,7
45,2022-12-16,4,8,3
46,2022-12-16,5,1,4
47,2022-12-16,6,9,11
48,2022-12-16,7,5,7
49,2022-12-17,0,3,4
50,2022-12-17,1,11,5
51,2022-12-17,2,1,8
52,2022-12-17,3,9,7
53,2022-12-17,4,8,5
54,2022-12-17,5,4,9
55,2022-12-18,0,1,7
56,2022-12-18,1,9,8
57,2022-12-18,2,1,9
58,2022-12-18,3,7,9
59,2023-01-13,0,8,10
60,2023-01-13,1,0,3
61,2023-01-13,2,4,7
62,2023-01-14,0,11,6
63,2023-01-14,1,3,10
64,2023-01-14,2,1,7
65,2023-01-14,3,5,9
66,2023-01-15,0,8,11
67,2023-01-15,1,2,0
68,2023-01-15,2,6,5
69,2023-01-20,0,9,11
70,2023-01-20,1,7,2
71,2023-01-20,2,5,8
72,2023-01-21,0,0,4
73,2023-01-21,1,5,10
74,2023-01-21,2,8,2
75,2023-01-21,3,1,3
76,2023-01-22,0,4,10
77,2023-01-22,1,6,3
78,2023-01-22,2,9,1
79,2023-01-27,0,11,10
80,2023-01-27,1,4,9
81,2023-01-27,2,1,6
