Match,GameIndex,Game
0,0,0
0,1,1
0,2,2
0,3,3
1,0,4
1,1,5
1,2,6
1,3,7
2,0,8
2,1,9
2,2,10
2,3,11
3,0,12
3,1,13
3,2,14
3,3,15
3,4,16
4,0,17
4,1,18
4,2,19
4,3,20
5,0,21
5,1,22
5,2,23
6,0,24
6,1,25
6,2,26
6,3,27
7,0,28
7,1,29
7,2,30
7,3,31
7,4,32
8,0,33
8,1,34
8,2,35
8,3,36
8,4,37
9,0,38
9,1,39
9,2,40
10,0,41
10,1,42
10,2,43
10,3,44
10,4,45
11,0,46
11,1,47
11,2,48
11,3,49
12,0,50
12,1,51
12,2,52
12,3,53
13,0,54
13,1,55
13,2,56
13,3,57
14,0,58
14,1,59
14,2,60
15,0,61
15,1,62
15,2,63
15,3,64
15,4,65
16,0,66
16,1,67
16,2,68
17,0,69
17,1,70
17,2,71
17,3,72
17,4,73
18,0,74
18,1,75
18,2,76
18,3,77
18,4,78
19,0,79
19,1,80
19,2,81
19,3,82
20,0,83
20,1,84
20,2,85
20,3,86
21,0,87
21,1,88
21,2,89
21,3,90
22,0,91
22,1,92
22,2,93
22,3,94
23,0,95
23,1,96
23,2,97
23,3,98
24,0,99
24,1,100
24,2,101
25,0,102
25,1,103
25,2,104
25,3,105
25,4,106
26,0,107
26,1,108
26,2,109
27,0,110
27,1,111
27,2,112
28,0,113
28,1,114
28,2,115
28,3,116
28,4,117
29,0,118
29,1,119
29,2,120
29,3,121
29,4,122
30,0,123
30,1,124
30,2,125
30,3,126
30,4,127
31,0,128
31,1,129
31,2,130
32,0,131
32,1,132
32,2,133
32,3,134
32,4,135
33,0,136
33,1,137
33,2,138
33,3,139
34,0,140
34,1,141
34,2,142
35,0,143
35,1,144
35,2,145
36,0,146
36,1,147
36,2,148
37,0,149
37,1,150
37,2,151
37,3,152
37,4,153
38,0,154
38,1,155
38,2,156
38,3,157
39,0,158
39,1,159
39,2,160
39,3,161
39,4,162
40,0,163
40,1,164
40,2,165
41,0,166
41,1,167
41,2,168
41,3,169
41,4,170
42,0,171
42,1,172
42,2,173
42,3,174
42,4,175
43,0,176
43,1,177
43,2,178
43,3,179
44,0,180
44,1,181
44,2,182
45,0,183
45,1,184
45,2,185
45,3,186
46,0,187
46,1,188
46,2,189
46,3,190
47,0,191
47,1,192
47,2,193
47,3,194
48,0,195
48,1,196
48,2,197
48,3,198
49,0,199
49,1,200
49,2,201
49,3,202
49,4,203
50,0,204
50,1,205
50,2,206
51,0,207
51,1,208
51,2,209
51,3,210
52,0,211
52,1,212
52,2,213
52,3,214
53,0,215
53,1,216
53,2,217
53,3,218
54,0,219
54,1,220
54,2,221
54,3,222
55,0,223
55,1,224
55,2,225
55,3,226
55,4,227
56,0,228
56,1,229
56,2,230
56,3,231
56,4,232
57,0,233
57,1,234
57,2,235
57,3,236
58,0,237
58,1,238
58,2,239
58,3,240
58,4,241
